commune,quartier,aliases,source,verified
Cocody,Angré 8e Tranche,,ovanie_seed,0
Cocody,Angré 9e Tranche,,ovanie_seed,0
Cocody,Angré Château,,ovanie_seed,0
Cocody,Angré Nouveau CHU,,ovanie_seed,0
Cocody,Riviera 1,,ovanie_seed,0
Cocody,Riviera 2,,ovanie_seed,0
Cocody,Riviera 3,,ovanie_seed,0
Cocody,Riviera 4,,ovanie_seed,0
Cocody,Riviera 5,,ovanie_seed,0
Cocody,Riviera 6,,ovanie_seed,0
Cocody,Riviera Golf,,ovanie_seed,0
Cocody,Riviera Palmeraie,Palmeraie,ovanie_seed,0
Cocody,Riviera Bonoumin,,ovanie_seed,0
Cocody,Riviera Faya,,ovanie_seed,0
Cocody,Riviera Attoban,,ovanie_seed,0
Cocody,Riviera M'Badon,,ovanie_seed,0
Cocody,Bonoumin,,ovanie_seed,0
Cocody,Faya,,ovanie_seed,0
Cocody,Attoban,,ovanie_seed,0
Cocody,Anono,,ovanie_seed,0
Cocody,Akouédo,Akouedo,ovanie_seed,0
Cocody,Djorogobité 1,Djorogobite 1,ovanie_seed,0
Cocody,Djorogobité 2,Djorogobite 2,ovanie_seed,0
Cocody,M'Pouto,Mpouto|M Pouto,ovanie_seed,0
Cocody,Cité ATCI,Cite ATCI|ATCI,ovanie_seed,0
Cocody,Génie 2000,,ovanie_seed,0
Cocody,Abatta Cocody,,ovanie_seed,0
Cocody,Bessikoi,,ovanie_seed,0
Cocody,Lauriers,,ovanie_seed,0
Cocody,Rosiers Programme 1,,ovanie_seed,0
Cocody,Rosiers Programme 2,,ovanie_seed,0
Cocody,Rosiers Programme 3,,ovanie_seed,0
Cocody,Rosiers Programme 4,,ovanie_seed,0
Cocody,Sopim,,ovanie_seed,0
Cocody,Sicogi Latrille,,ovanie_seed,0
Cocody,Cité Allabra,,ovanie_seed,0
Cocody,Cité Synacass-CI,,ovanie_seed,0
Cocody,Cité BCEAO,,ovanie_seed,0
Cocody,Cité BAD,,ovanie_seed,0
Cocody,Cité EECI,,ovanie_seed,0
Cocody,Cité des Cadres,,ovanie_seed,0
Cocody,Washington,,ovanie_seed,0
Cocody,Val Doyen,,ovanie_seed,0
Cocody,Cité Lemania,,ovanie_seed,0
Koumassi,Koumassi Centre,,ovanie_seed,0
Koumassi,Koumassi Nord,,ovanie_seed,0
Koumassi,Koumassi Nord-Est,,ovanie_seed,0
Koumassi,Koumassi Sud,,ovanie_seed,0
Koumassi,Koumassi Remblais,Remblais Koumassi,ovanie_seed,0
Koumassi,Grand Campement,,ovanie_seed,0
Koumassi,Divo 1,,ovanie_seed,0
Koumassi,Divo 2,,ovanie_seed,0
Koumassi,Akromiabla,,ovanie_seed,0
Koumassi,Prodomo,,ovanie_seed,0
Koumassi,Campement,,ovanie_seed,0
Koumassi,SICOGI Koumassi,,ovanie_seed,0
Koumassi,SOGEFIHA Koumassi,,ovanie_seed,0
Koumassi,Zone Industrielle Koumassi,,ovanie_seed,0
Koumassi,Pangolin,,ovanie_seed,0
Koumassi,Sopim Koumassi,,ovanie_seed,0
Koumassi,Quartier 05,,ovanie_seed,0
Koumassi,Quartier 14,,ovanie_seed,0
Koumassi,Quartier 32,,ovanie_seed,0
Koumassi,Quartier 36,,ovanie_seed,0
Koumassi,Quartier 38,,ovanie_seed,0
Koumassi,Quartier 41,,ovanie_seed,0
Koumassi,Quartier 45,,ovanie_seed,0
Koumassi,Cité Houphouët-Boigny,,ovanie_seed,0
Koumassi,Cité Addoha Koumassi,,ovanie_seed,0
Koumassi,Carrefour Akwaba Koumassi,,ovanie_seed,0
Koumassi,Bia Sud,,ovanie_seed,0
Marcory,Marcory Centre,,ovanie_seed,0
Marcory,Marcory Résidentiel,,ovanie_seed,0
Marcory,Marcory Zone 4,Zone 4|Zone quatre,ovanie_seed,0
Marcory,Zone 4 C,,ovanie_seed,0
Marcory,Zone 4 Biétry,Zone 4 Bietry|Bietry Zone 4,ovanie_seed,0
Marcory,Biétry,Bietry,ovanie_seed,0
Marcory,Marcory Zone 3,,ovanie_seed,0
Marcory,Anoumabo,Anoumanbo,ovanie_seed,0
Marcory,Hibiscus,,ovanie_seed,0
Marcory,Champroux,,ovanie_seed,0
Marcory,GFCI,,ovanie_seed,0
Marcory,Aliodan,,ovanie_seed,0
Marcory,Sans Fil,,ovanie_seed,0
Marcory,SICOGI Marcory,,ovanie_seed,0
Marcory,Konan Raphaël,,ovanie_seed,0
Marcory,Poto-Poto,,ovanie_seed,0
Marcory,Remblais Marcory,,ovanie_seed,0
Marcory,Cité Hibiscus,,ovanie_seed,0
Marcory,Cité Presse,,ovanie_seed,0
Marcory,Cité Marie-Koré,,ovanie_seed,0
Marcory,Petit Bouaké,,ovanie_seed,0
Marcory,Grand Carrefour Marcory,,ovanie_seed,0
Marcory,Résidentiel 7 Hectares,,ovanie_seed,0
Marcory,Ancien Koumassi,,ovanie_seed,0
Plateau,Plateau Centre,,ovanie_seed,0
Plateau,Cité Administrative,,ovanie_seed,0
Plateau,Quartier Commerce,,ovanie_seed,0
Plateau,Quartier des Affaires,,ovanie_seed,0
Plateau,Indénié Plateau,,ovanie_seed,0
Plateau,Carena,,ovanie_seed,0
Plateau,Plateau Dokui administratif,,ovanie_seed,0
Plateau,Résidentiel Plateau,,ovanie_seed,0
Plateau,Jardin Public,,ovanie_seed,0
Plateau,Cité Esculape,,ovanie_seed,0
Plateau,Zone Portuaire Plateau,,ovanie_seed,0
Plateau,Avenue Chardy,,ovanie_seed,0
Plateau,Avenue Franchet-d'Esperey,,ovanie_seed,0
Plateau,Boulevard de la République,,ovanie_seed,0
Port-Bouët,Port-Bouët Centre,,ovanie_seed,0
Port-Bouët,Vridi,,ovanie_seed,0
Port-Bouët,Vridi Canal,,ovanie_seed,0
Port-Bouët,Vridi Cité,,ovanie_seed,0
Port-Bouët,Vridi 3,,ovanie_seed,0
Port-Bouët,Vridi Zone Industrielle,,ovanie_seed,0
Port-Bouët,Gonzagueville,,ovanie_seed,0
Port-Bouët,Adjouffou,,ovanie_seed,0
Port-Bouët,Jean-Folly,,ovanie_seed,0
Port-Bouët,Derrière Wharf,Derriere Wharf,ovanie_seed,0
Port-Bouët,Aéroport,,ovanie_seed,0
Port-Bouët,Akwaba,,ovanie_seed,0
Port-Bouët,Petit-Bassam,,ovanie_seed,0
Port-Bouët,Abia,,ovanie_seed,0
Port-Bouët,Anani,,ovanie_seed,0
Port-Bouët,Modeste,,ovanie_seed,0
Port-Bouët,Maffiblé,,ovanie_seed,0
Port-Bouët,Abouabou,,ovanie_seed,0
Port-Bouët,SOGEFIHA Port-Bouët,,ovanie_seed,0
Port-Bouët,SICOGI Port-Bouët,,ovanie_seed,0
Port-Bouët,Ancien Koumassi Port-Bouët,,ovanie_seed,0
Port-Bouët,Cité de l'Air,,ovanie_seed,0
Port-Bouët,Cité policière Port-Bouët,,ovanie_seed,0
Port-Bouët,Camp Gendarmerie,,ovanie_seed,0
Port-Bouët,Rue des Pêcheurs,,ovanie_seed,0
Port-Bouët,Phare de Port-Bouët,,ovanie_seed,0
Port-Bouët,Bassam 1,,ovanie_seed,0
Port-Bouët,Bassam 2,,ovanie_seed,0
Songon,Songon Kassemblé,Songon Kassemble,ovanie_seed,0
Songon,Songon Dagbé,Songon Dagbe,ovanie_seed,0
Songon,Songon Agban,,ovanie_seed,0
Songon,Songon M'Brathé,Songon Mbrathe|Songon M Brathe,ovanie_seed,0
Songon,Songon Té,,ovanie_seed,0
Songon,Songon Centre,,ovanie_seed,0
Songon,Nonkouagon,,ovanie_seed,0
Songon,Bago,,ovanie_seed,0
Songon,Adiapoto,,ovanie_seed,0
Songon,Kossihouen,,ovanie_seed,0
Songon,Abadjin-Kouté,,ovanie_seed,0
Songon,Abadjin-Doumé,,ovanie_seed,0
Songon,Abadjin-Brimbresso,,ovanie_seed,0
Songon,Adiopodoumé,,ovanie_seed,0
Songon,Bimbresso,,ovanie_seed,0
Songon,Songon M'Brathé Résidentiel,,ovanie_seed,0
Songon,Songon Extension,,ovanie_seed,0
Songon,Songon Terminal,,ovanie_seed,0
Songon,Niangon-Adjamé,,ovanie_seed,0
Songon,Kassemblé Village,,ovanie_seed,0
Treichville,Treichville Centre,,ovanie_seed,0
Treichville,Arras 1,,ovanie_seed,0
Treichville,Arras 2,,ovanie_seed,0
Treichville,Arras 3,,ovanie_seed,0
Treichville,Arras 4,,ovanie_seed,0
Treichville,Biafra,,ovanie_seed,0
Treichville,Belleville Treichville,,ovanie_seed,0
Treichville,Habitat Treichville,,ovanie_seed,0
Treichville,France-Amérique,,ovanie_seed,0
Treichville,Gbatanikro,,ovanie_seed,0
Treichville,Apollo,,ovanie_seed,0
Treichville,SICOGI Treichville,,ovanie_seed,0
Treichville,SOGEFIHA Treichville,,ovanie_seed,0
Treichville,Zone Portuaire Treichville,,ovanie_seed,0
Treichville,Canal aux Bois,,ovanie_seed,0
Treichville,Avenue 8,,ovanie_seed,0
Treichville,Avenue 16,,ovanie_seed,0
Treichville,Avenue 21,,ovanie_seed,0
Treichville,Avenue 24,,ovanie_seed,0
Treichville,Marché de Treichville,,ovanie_seed,0
Treichville,Palais des Sports,,ovanie_seed,0
Treichville,Cité Douane,,ovanie_seed,0
Yopougon,Yopougon Centre,,ovanie_seed,0
Yopougon,Yopougon Gare,,ovanie_seed,0
Yopougon,Yopougon Santé,,ovanie_seed,0
Yopougon,Yopougon Attié,,ovanie_seed,0
Yopougon,Yopougon Kouté,,ovanie_seed,0
Yopougon,Niangon Nord,,ovanie_seed,0
Yopougon,Niangon Sud,,ovanie_seed,0
Yopougon,Niangon à Gauche,Niangon a Gauche,ovanie_seed,0
Yopougon,Niangon à Droite,Niangon a Droite,ovanie_seed,0
Yopougon,Siporex,,ovanie_seed,0
Yopougon,Selmer,,ovanie_seed,0
Yopougon,Wassakara,,ovanie_seed,0
Yopougon,Toits Rouges,,ovanie_seed,0
Yopougon,Gesco,,ovanie_seed,0
Yopougon,Maroc,,ovanie_seed,0
Yopougon,Maroc Antenne,,ovanie_seed,0
Yopougon,SICOGI Yopougon,,ovanie_seed,0
Yopougon,SOGEFIHA Yopougon,,ovanie_seed,0
Yopougon,SIDEci,,ovanie_seed,0
Yopougon,Andokoi,,ovanie_seed,0
Yopougon,Azito,,ovanie_seed,0
Yopougon,Académie,,ovanie_seed,0
Yopougon,Banco Yopougon,,ovanie_seed,0
Yopougon,Port-Bouët 2,,ovanie_seed,0
Yopougon,Nouveau Quartier,,ovanie_seed,0
Yopougon,Millionnaire,,ovanie_seed,0
Yopougon,MICAO,,ovanie_seed,0
Yopougon,Lokoa,,ovanie_seed,0
Yopougon,Koweït,Koweit,ovanie_seed,0
Yopougon,Camp Militaire,,ovanie_seed,0
Yopougon,Ananeraie,,ovanie_seed,0
Yopougon,Terminus 27,,ovanie_seed,0
Yopougon,Lubafrique,,ovanie_seed,0
Yopougon,Cité Verte,,ovanie_seed,0
Yopougon,Sable,,ovanie_seed,0
Yopougon,Kouté Village,,ovanie_seed,0
Yopougon,Azito Village,,ovanie_seed,0
Yopougon,Abobodoumé Yopougon,,ovanie_seed,0
Yopougon,Yaosséhi,Yaossehi,ovanie_seed,0
Yopougon,Mami-Faitai,Mamie Faitai,ovanie_seed,0
Yopougon,Camp Manguier,,ovanie_seed,0
Yopougon,Camp Militaire 1,,ovanie_seed,0
Yopougon,Camp Militaire 2,,ovanie_seed,0
Yopougon,Cité CIE,,ovanie_seed,0
Yopougon,Cité SIR,,ovanie_seed,0
Yopougon,Cité GFCI,,ovanie_seed,0
Yopougon,Sideci Lem,,ovanie_seed,0
Yopougon,Sideci Terminus,,ovanie_seed,0
Yopougon,Sicogi 1,,ovanie_seed,0
Yopougon,Sicogi 2,,ovanie_seed,0
Yopougon,Sicogi 3,,ovanie_seed,0
Yopougon,Sicogi 4,,ovanie_seed,0
Yopougon,Sicogi 5,,ovanie_seed,0
Yopougon,Selmer Camp,,ovanie_seed,0
Yopougon,Selmer Mairie,,ovanie_seed,0
Yopougon,Wassakara Carrefour,,ovanie_seed,0
Yopougon,Niangon Lokoa,,ovanie_seed,0
Yopougon,Niangon Cité Verte,,ovanie_seed,0
Yopougon,Niangon Lubafrique,,ovanie_seed,0
Yopougon,Niangon Adjamé,,ovanie_seed,0
Yopougon,Bonikro,,ovanie_seed,0
Yopougon,Kossihouen Yopougon,,ovanie_seed,0
Yopougon,N'Dotré Yopougon,,ovanie_seed,0
Yopougon,Mahou,,ovanie_seed,0
Yopougon,Kouté Extension,,ovanie_seed,0
Yopougon,Yopougon Industriel,,ovanie_seed,0
Yopougon,Zone Industrielle Yopougon,,ovanie_seed,0
Yopougon,Cité Coprim,,ovanie_seed,0
Yopougon,Cité Bel Air,,ovanie_seed,0
Yopougon,Cité Nawa,,ovanie_seed,0
Yopougon,Cité Sopim,,ovanie_seed,0
Yopougon,Cité Addoha Yopougon,,ovanie_seed,0
Yopougon,Cité ADO,,ovanie_seed,0
Yopougon,Cité Mamie Adjoua,,ovanie_seed,0
