commune,quartier,sous_quartier,cite,village,carrefour,alias_google_maps,type_source,remarque,source
Attécoubé,,,,Abobo-Doumé,,Abobodoumé,Village,"Village/quartier entre Locodjro et Djindin, port de pêche",abidjan_localites_base_donnees.xlsx
Attécoubé,,Agban Attié,,,,,Sous-quartier,"Secteurs Bawa, Colatier, carrefour Bandji",abidjan_localites_base_donnees.xlsx
Attécoubé,,Attécoubé 3,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Djéné Ecaré,,,,Djéné|Quartier Djéné Ecaré,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Santé École,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Santé 3 Résidentiel 1,,,,Mossikro,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Santé 3 Résidentiel 2,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Santé 3 Extension,,,,Quartier Sante 2 Mossikro,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Fromager,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Déindé,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Asapsu,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Awa,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Jean-Paul II,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Santé Carrefour,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Akélié,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Lackman,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Douagoville,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Camp Douane,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Jérusalem Résidentiel,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Jérusalem 1,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Jérusalem 2,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Jérusalem 3,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Sebroko,,,,Quartier Sebroko,Sous-quartier,Ex-Hôtel Sebroko Frantel,abidjan_localites_base_donnees.xlsx
Attécoubé,,La Paix,,,,Quartier La Paix,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Lagune,,,,Quartier Lagune,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Espoir,,,,Quartier Espoir,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Mosquée,,,,Quartier Mosquée,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Saint-Joseph,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,École (quartier),,,,Quartier École,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Gbebouto,,,,Quartier Gbebouto,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Cantonnement Forestier,,,,École forestière,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,,Cité Fairmont 1,,,,Cité,,abidjan_localites_base_donnees.xlsx
Attécoubé,,,Cité Fairmont 2,,,,Cité,Sanctuaire Notre-Dame d'Afrique,abidjan_localites_base_donnees.xlsx
Attécoubé,,Boribana,,,,,Sous-quartier,Quartier précaire sous le pont de Yopougon,abidjan_localites_base_donnees.xlsx
Attécoubé,,Nimatoulaye,,,,Attécoubé Nimatoulaye,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Banco Nord (Attécoubé),,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Résidentiel (Attécoubé),,,,Quartier Résidentiel,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Dialogue,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Hetilos,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Agoua,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Piment Rouge,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Marché (Attécoubé),,,,Quartier Marché,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Quartier Ébrié,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Attécoubé,,Opéra,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,,,Cocody Village,,,Village,Village Bidjan le plus ancien ; « Cocoly »,abidjan_localites_base_donnees.xlsx
Cocody,,,,Blockosso,,Blockauss|Blokosso,Village,Nom lié au blockhaus français,abidjan_localites_base_donnees.xlsx
Cocody,,,,M'Badon,,M'badon,Village,Rattaché à Cocody en 1980 (ex-Bingerville),abidjan_localites_base_donnees.xlsx
Cocody,,,,M'Pouto,,M'pouto,Village,Rattaché à Cocody en 1980 (ex-Bingerville),abidjan_localites_base_donnees.xlsx
Cocody,,,,Anono,,,Village,Rattaché à Cocody en 1980 (ex-Bingerville) ; issu de la fuite des habitants de Daka,abidjan_localites_base_donnees.xlsx
Cocody,,,,Akouédo,,,Village,Rattaché à Cocody en 1980 (ex-Bingerville),abidjan_localites_base_donnees.xlsx
Cocody,,,,Djorogobité I,,,Village,Village/lotissement,abidjan_localites_base_donnees.xlsx
Cocody,,,,Djorogobité II,,,Village,Village/lotissement,abidjan_localites_base_donnees.xlsx
Cocody,,,,Adjamé Extension (Cocody),,,Village,Village,abidjan_localites_base_donnees.xlsx
Cocody,,,,Bahouakoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Cocody,,,,Koffakoi (Cocody),,,Village,Village,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera 1,,,,,Secteur,Grand secteur résidentiel,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera 2,,,,,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera 3,,,,,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera 4,,,,,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera 5,,,,,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Golf 1,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Golf 2,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera M'Badon,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Palmeraie,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Bonoumin,,,,Bonoumin Est,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Attoban,,,,Riviera Attoban Zinsou,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Faya,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Beach,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Riviera Digue de Bonoumin,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Deux-Plateaux (II Plateaux),,,,Les 2 Plateaux,Secteur,Quartier résidentiel historique et diplomatique,abidjan_localites_base_donnees.xlsx
Cocody,,Vallon (2 Plateaux),,,,Le Vallon|Rue des Jardins,Sous-quartier,Zone commerciale de luxe,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux Vallons,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux IAE,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux Est,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux 7e Tranche,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux 8e Tranche,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux Carrefour Zoo,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,II Plateaux Bassin du Vallon,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré,,,,,Secteur,Nom issu du planteur Donatien Angré Kangabri,abidjan_localites_base_donnees.xlsx
Cocody,,Angré Château,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré 7e Tranche,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré 8e Tranche,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré Star,,,,Angré Star 9 B+,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré SCI Fandasso,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Angré Cité Latrille,,,,Manguier 1 et 2,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Beverly-Hills,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Palmeraie-Extension,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Cocody Centre,,,,,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Cocody-Ambassades,,,,Cocody Ambassade,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Danga,,,,,Secteur,"Nom issu de « Daka », village exilant les criminels",abidjan_localites_base_donnees.xlsx
Cocody,,La Canebière,,,,Cannebière,Secteur,,abidjan_localites_base_donnees.xlsx
Cocody,,Plateau Dokui,,,,,Secteur,Marché la Paix,abidjan_localites_base_donnees.xlsx
Cocody,,Val-Doyen,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,,Cité des Arts,,,,Cité,,abidjan_localites_base_donnees.xlsx
Cocody,,,Cité des Cadres,,,,Cité,,abidjan_localites_base_donnees.xlsx
Cocody,,Abatta Extension,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Agban Gendarmerie,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Génie 2000,,,,Genie 2000,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,,Sopim Vallon,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Cocody,Caféiers,,,,,Caféiers 2|Caféiers 3,Quartier,,abidjan_localites_base_donnees.xlsx
Cocody,Bahouakoi / Bessikoi (lotissement),,,,,Lotissement de Bessikoi,Quartier,,abidjan_localites_base_donnees.xlsx
Koumassi,Sicogi (Koumassi),,,,,Koumassi Sicogi|Sicogi Bia Sud|Sicogi I|Sicogi II,Quartier,Quartier résidentiel,abidjan_localites_base_donnees.xlsx
Koumassi,Remblais (Koumassi),,,,,Koumassi Remblais,Quartier,,abidjan_localites_base_donnees.xlsx
Koumassi,Prodomo,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Koumassi,,Sopim Prodomo,,,,Sopim,Sous-quartier,Sous-secteur de Prodomo,abidjan_localites_base_donnees.xlsx
Koumassi,Quartier Divo,,,,,Q/Divo,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Grand Campement,,,,,Campement,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Aklomiabla,,,,,Akromiabla|Akromianbla,Quartier,"Habitat précaire, quartier Nord-Est",abidjan_localites_base_donnees.xlsx
Koumassi,Zoé Bruno,,,,,,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Sobrici,,,,,,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Yapokro,,,,,,Quartier,Habitat précaire (secteur Prodomo),abidjan_localites_base_donnees.xlsx
Koumassi,Houphouët-Boigny 1,,,,,,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Houphouët-Boigny 2,,,,,,Quartier,Habitat précaire,abidjan_localites_base_donnees.xlsx
Koumassi,Soweto,,,,,,Quartier,Habitat précaire (secteur Prodomo),abidjan_localites_base_donnees.xlsx
Koumassi,Zone Industrielle (Koumassi),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Koumassi,Camp Commando,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,,,,Anoumabo,,,Village,"Village Ébrié, siège du FEMUA / Magic System",abidjan_localites_base_donnees.xlsx
Marcory,,,,Abia-Koumassi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Marcory,,,,Abia-Abéty,,Abia-Abety,Village,Village,abidjan_localites_base_donnees.xlsx
Marcory,Résidentiel (Marcory),,,,,Marcory Résidentiel,Quartier,Quartier chic,abidjan_localites_base_donnees.xlsx
Marcory,Marie Koré,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Champroux,,,,,,Quartier,Stade Robert Champroux à proximité,abidjan_localites_base_donnees.xlsx
Marcory,Gnanzoua,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Kablan Brou Fulgence,,,,,KBF,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Hibiscus,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Konan Raphaël,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Jean-Baptiste Mockey,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Adeimin,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Biétry,,,,,Bietry,Quartier,"Quartier huppé, vie nocturne (Marcory Zone 4 – Biétry)",abidjan_localites_base_donnees.xlsx
Marcory,Zone 4,,,,,Marcory Zone 4|Zone 4A|4B|4C|4D,Quartier,"Quartier d'affaires et de nuit, « Red Light District » à Biétry",abidjan_localites_base_donnees.xlsx
Marcory,Aliodan,,,,,,Quartier,Quartier populaire derrière Anoumabo,abidjan_localites_base_donnees.xlsx
Marcory,Sans-Fils,,,,,Sans-Fil,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Remblais (Marcory),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Sicogi (Marcory),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,Citelcom,,,,,Djèbidjè,Quartier,,abidjan_localites_base_donnees.xlsx
Marcory,CETAO,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Plateau,Plateau Centre / Zone des affaires,,,,,Le Petit Paris|Le Petit Manhattan,Quartier,Cœur des affaires et de l'administration,abidjan_localites_base_donnees.xlsx
Plateau,Cité Administrative,,,,,,Quartier,Ensemble de tours administratives (achevé 1984),abidjan_localites_base_donnees.xlsx
Plateau,Indénié,,,,,Indénie,Quartier,Quartier,abidjan_localites_base_donnees.xlsx
Plateau,Sorbonne (Plateau),,,,,,Quartier,Ancien forum de discussion politique de rue,abidjan_localites_base_donnees.xlsx
Plateau,Quartier Ferroviaire,,,,,,Quartier,"Autour de la gare, terminus Abidjan-Niger",abidjan_localites_base_donnees.xlsx
Plateau,Quai Fruitier,,,,,QB1|QB2,Quartier,,abidjan_localites_base_donnees.xlsx
Plateau,Rue du Commerce,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Abouabou,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Mafiblé 1,,Maffible 1,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Mafiblé 2,,Maffible 2,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Adjahui-Coubé,,Adjahui-Nanmoué,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Amangoua-Koi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Bénogosso,,Benegosso,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Anani,,Anani Amanou,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Agbabou,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Petit-Bassam,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Ako Brakré,,Ako Brakre,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Ellokro,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Kaotré,,Kaotri,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Abrogouama Village,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,N'Guessankro,,,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,,,,Anlèya,,Alladjan,Village,Village,abidjan_localites_base_donnees.xlsx
Port-Bouët,Vridi,,,,,,Quartier,Zone portuaire et industrielle,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Village,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Canal,,,,Vridi-Canal-SIR,Sous-quartier,Raffinerie SIR,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Ako,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Cité,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi 3,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Gendarmerie,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Chapelle,,,,CIE Plage,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi École,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,,Vridi Foyer,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Adjouffou 1,,,,,,Quartier,Quartier lié à la construction de l'aéroport,abidjan_localites_base_donnees.xlsx
Port-Bouët,Adjouffou 2,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Derrière Wharf,,,,,Derrière Warf|Derrière Whaff,Quartier,Créé pour les ouvriers de la construction du wharf,abidjan_localites_base_donnees.xlsx
Port-Bouët,Gonzagueville,,,,,Gonzague,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Jean-Folly,,,,,Janfoldi,Quartier,Du nom du fondateur Folly Jean,abidjan_localites_base_donnees.xlsx
Port-Bouët,Toviato,,,,,,Quartier,« la cabane près de la petite eau »,abidjan_localites_base_donnees.xlsx
Port-Bouët,Aéroport (quartier),,,,,Aéroportuaire|Logements,Quartier,Autour de l'aéroport FHB,abidjan_localites_base_donnees.xlsx
Port-Bouët,Belleville (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Océan,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Phare,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Espoir (Port-Bouët),,,,,Centre Espoir,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Mairie (quartier),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Sogefiha (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Hôpital (quartier),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Jéricho,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Marché (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Port-Bouët 4,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Lycée (quartier),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Nogbou,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Silove,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Sipim,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
